x,y,pos_x,pos_y,DELTA_DISTANCE,DELTA_ALPHA,PUSH_TOLERANCE
0,0,0.422881,0.045430,-0.020000,0.005500,0.001000
0,1,0.392965,0.162640,-0.020000,0.005500,0.001000
0,2,0.331239,0.266674,-0.020000,0.005500,0.001000
0,3,0.266991,0.330923,-0.020000,0.005500,0.001000
0,4,0.162957,0.392649,-0.020000,0.005500,0.001000
0,5,0.045747,0.422565,-0.020000,0.005500,0.001000
0,6,-0.045480,0.422585,-0.020000,0.005500,0.001000
0,7,-0.162703,0.392721,-0.020000,0.005500,0.001000
0,8,-0.266764,0.331041,-0.020000,0.005500,0.001000
0,9,-0.331041,0.266821,-0.020000,0.005500,0.001000
0,10,-0.392813,0.162814,-0.020000,0.005500,0.001000
0,11,-0.422781,0.045617,-0.020000,0.005500,0.001000
1,0,0.522308,0.056120,-0.020000,0.005500,0.001000
1,1,0.485353,0.200909,-0.020000,0.005500,0.001000
1,2,0.409103,0.329421,-0.020000,0.005500,0.001000
1,3,0.329737,0.408787,-0.020000,0.005500,0.001000
1,4,0.201225,0.485037,-0.020000,0.005500,0.001000
1,5,0.056436,0.521992,-0.020000,0.005500,0.001000
1,6,-0.056126,0.522017,-0.020000,0.005500,0.001000
1,7,-0.200931,0.485126,-0.020000,0.005500,0.001000
1,8,-0.329477,0.408932,-0.020000,0.005500,0.001000
1,9,-0.408878,0.329602,-0.020000,0.005500,0.001000
1,10,-0.485184,0.201123,-0.020000,0.005500,0.001000
1,11,-0.522203,0.056351,-0.020000,0.005500,0.001000
2,0,0.621735,0.066809,-0.020000,0.005500,0.001000
2,1,0.577741,0.239177,-0.02000,0.003800,0.001000
2,2,0.486967,0.392168,-0.020000,0.005500,0.001000
2,3,0.392484,0.486651,-0.020000,0.005500,0.001000
2,4,0.239493,0.577425,-0.020000,0.005500,0.001000
2,5,0.067126,0.621419,-0.020000,0.005500,0.001000
2,6,-0.066771,0.621449,-0.020000,0.005500,0.001000
2,7,-0.239158,0.577530,-0.020000,0.005500,0.001000
2,8,-0.392189,0.486824,-0.020000,0.005500,0.001000
2,9,-0.486714,0.392383,-0.020000,0.005500,0.001000
2,10,-0.577555,0.239432,-0.020000,0.005500,0.001000
2,11,-0.621626,0.067084,-0.020000,0.005500,0.001000
